EntrezGeneID,Length,SYMBOL,GENENAME,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,Variance,MCL1-LA CPM,MCL1-LB CPM,MCL1-LC CPM,MCL1-LD CPM,MCL1-LE CPM,MCL1-LF CPM,MCL1-DG CPM,MCL1-DH CPM,MCL1-DI CPM,MCL1-DJ CPM,MCL1-DK CPM,MCL1-DL CPM
24117,2242,Wif1,Wnt inhibitory factor 1,0,-1.80693948843577,0.000302047085231702,2.97506722326741,1.11132523356894e-8,6,13,17,22,1,1,5310,5196,9573,8683,2243,2193,0.7891912899631706,0.294,0.599,0.764,1.001,0.040,0.041,228.607,238.591,397.207,383.095,104.183,109.566
98682,5591,Mfsd6,major facilitator superfamily domain containing 6,0,1.07879565972857,0.000481558769721525,6.25739011456153,2.61205197360971e-7,2392,2573,3865,3167,1963,1970,1148,1062,868,853,1565,1528,0.1822009686529995,117.300,118.527,173.773,144.032,79.397,79.895,49.424,48.765,36.015,37.635,72.692,76.341
381290,8292,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",0,2.15807600718181,0.000481558769721525,3.94358863388635,1.11682592303643e-7,181,196,32,32,20,17,1352,1171,1668,1795,7334,5880,0.966609058552713,8.876,9.029,1.439,1.455,0.809,0.689,58.207,53.770,69.209,79.196,340.652,293.774
20564,4996,Slit3,slit guidance ligand 3,0,1.34500848022674,0.000481558769721525,3.4413176408925,3.22902245541651e-7,21,30,18,13,16,24,2448,2084,2256,2297,4934,4907,0.36343986344387247,1.030,1.382,0.809,0.591,0.647,0.973,105.392,95.693,93.607,101.344,229.176,245.161
20317,1494,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1",0,-1.6970463725792,0.000481558769721525,3.38835760312186,2.92930311310335e-7,52,70,37,34,27,42,919,1004,3043,2877,813,741,0.5831987454589083,2.550,3.225,1.664,1.546,1.092,1.703,39.565,46.102,126.262,126.934,37.762,37.022
71952,2346,Riox1,ribosomal oxygenase 1,0,-1.13516632940177,0.000481558769721525,3.76528891993485,3.48561106693132e-7,328,325,306,280,203,211,476,441,490,457,199,168,0.11785088516131381,16.085,14.971,13.758,12.734,8.211,8.557,20.493,20.250,20.331,20.163,9.243,8.394
320315,667,A330048O09Rik,RIKEN cDNA A330048O09 gene,0,-2.39887218046938,0.000481558769721525,-2.58771054655223,3.79611544523414e-7,0,0,0,0,0,0,29,33,71,58,11,9,0.020261932033701413,0.000,0.000,0.000,0.000,0.000,0.000,1.249,1.515,2.946,2.559,0.511,0.450
16012,1289,Igfbp6,insulin-like growth factor binding protein 6,0,2.9078528892948,0.000481558769721525,1.97797146441602,2.27621664596567e-7,38,58,12,12,10,17,241,251,170,218,1205,1244,0.9242763195092394,1.863,2.672,0.540,0.546,0.404,0.689,10.376,11.525,7.054,9.618,55.970,62.152
226101,7094,Myof,myoferlin,0,2.34238017600087,0.000481558769721525,6.2230472687304,2.35164415996445e-7,2649,2611,1841,1612,1882,2124,1653,1445,566,637,2860,2338,0.9236334776707054,129.903,120.277,82.773,73.312,76.121,86.141,71.165,66.352,23.485,28.105,132.842,116.810
108897,2953,Aif1l,allograft inflammatory factor 1-like,0,-1.72012428091891,0.000481558769721525,1.86935462414177,4.17390337676719e-7,269,274,17,10,3,2,522,509,483,424,128,106,0.20847603094595613,13.191,12.622,0.764,0.455,0.121,0.081,22.473,23.372,20.041,18.707,5.945,5.296
381410,3740,Zfp408,zinc finger protein 408,0,1.17124389238733,0.000481558769721525,4.47622007074371,4.60669193596514e-7,713,814,428,362,154,153,630,576,563,505,973,1076,0.18809556022855745,34.964,37.497,19.243,16.463,6.229,6.205,27.123,26.449,23.360,22.281,45.194,53.759
70933,2258,4931402G19Rik,RIKEN cDNA 4931402G19 gene,0,2.554087280716,0.000481558769721525,-5.09659401121117,1.7022439968243e-7,0,0,0,0,0,0,0,0,0,0,2,2,0.00004802826223837542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.100
626410,1827,Gm20755,"predicted gene, 20755",0,2.554087280716,0.000481558769721525,-5.09659401121117,1.7022439968243e-7,0,0,0,0,0,0,0,0,0,0,2,2,0.00004802826223837542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.100
194126,2812,Mtmr11,myotubularin related protein 11,0,1.72157282789576,0.000481558769721525,2.50756390014529,1.77838242849647e-7,81,99,20,21,24,20,476,373,306,275,792,840,0.32652175155918783,3.972,4.560,0.899,0.955,0.971,0.811,20.493,17.127,12.697,12.133,36.787,41.968
60599,5430,Trp53inp1,transformation related protein 53 inducible nuclear protein 1,0,1.27146302973655,0.000481558769721525,6.11791875667366,3.56533776451712e-7,7841,8547,1127,881,741,746,1151,1134,1009,977,2019,2061,0.2749405688064712,384.511,393.723,50.671,40.067,29.971,30.255,49.553,52.071,41.866,43.105,93.779,102.971
231830,3346,Micall2,MICAL-like 2,0,-2.24065706867938,0.000481558769721525,4.76011967442182,2.01102413216569e-7,283,264,720,780,223,270,847,748,2872,2386,523,424,0.9079489658960327,13.878,12.161,32.372,35.474,9.020,10.950,36.465,34.347,119.166,105.271,24.292,21.184
58807,3178,Slco1c1,"solute carrier organic anion transporter family, member 1c1",0,-2.574517426621,0.000481558769721525,-4.4632431550095,2.1406257983109e-7,0,0,0,0,0,0,5,4,3,3,0,0,0.00008487928573508441,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.184,0.124,0.132,0.000,0.000
55987,3506,Cpxm2,carboxypeptidase X 2 (M14 family),0,1.52810351957863,0.000481558769721525,2.83403464820817,6.14544027796316e-8,8,8,9,6,10,12,2493,1968,2144,1845,4891,4880,0.470190212358915,0.392,0.369,0.405,0.273,0.404,0.487,107.329,90.367,88.960,81.402,227.178,243.812
270150,1086,Ccdc153,coiled-coil domain containing 153,0,3.2224253873469,0.000481558769721525,-1.34131611102033,4.20538908735604e-7,0,0,0,0,0,0,113,86,57,84,519,579,0.5585248559430553,0.000,0.000,0.000,0.000,0.000,0.000,4.865,3.949,2.365,3.706,24.107,28.928
235542,7361,Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha",0,1.12246367629805,0.000481558769721525,6.50058211748916,4.38132093036751e-7,1645,1658,2077,1937,2721,2787,1902,1689,1483,1536,2768,2823,0.23213843358018948,80.668,76.377,93.384,88.093,110.056,113.029,81.885,77.556,61.533,67.769,128.569,141.041
226251,7073,Ablim1,actin-binding LIM protein 1,0,1.09067942148892,0.000506244025122495,4.63021291721619,5.02909918624944e-7,973,1151,104,96,84,88,1446,1418,1100,1101,2080,1911,0.20022891934964093,47.715,53.022,4.676,4.366,3.398,3.569,62.253,65.112,45.642,48.576,96.612,95.477
16669,1375,Krt19,keratin 19,0,2.32715641371399,0.000548440389169881,8.74141454749562,6.45722523030141e-7,55499,69401,28693,27957,7507,7343,2972,2229,2143,2507,10011,9770,1.1716938123713945,2721.591,3197.002,1290.060,1271.452,303.634,297.802,127.951,102.352,88.918,110.609,464.994,488.124
67470,3657,Abcg8,ATP binding cassette subfamily G member 8,0,-3.44583221609526,0.000548440389169881,-4.31727545749862,6.4017524109428e-7,0,0,0,0,0,0,5,4,5,7,0,0,0.0003631105618904229,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.184,0.207,0.309,0.000,0.000
231991,2873,Creb5,cAMP responsive element binding protein 5,0,2.61014498513591,0.000550952187720824,4.27545223034439,6.68951109120542e-7,1114,1119,450,534,41,33,756,612,272,337,1579,1555,0.9034156128646167,54.629,51.547,20.232,24.286,1.658,1.338,32.547,28.102,11.286,14.868,73.342,77.690
246746,1885,Cd300lf,CD300 molecule like family member F,0,-2.08916603587191,0.000552810456311035,-5.09659401121117,7.32226219772517e-7,0,0,0,0,0,0,0,0,2,2,0,0,0.00003788496963963439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.088,0.000,0.000
